ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
NoeLae-14_root-1-1,NoeLae-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
BanPaw-14_root-1-1,BanPaw-14_root-1,riah,1-14,false,expert,Deepadung2015,,,
ChaYeQing-14_root-1-1,ChaYeQing-14_root-1,ɣəhhɔj,2-14,false,expert,Deepadung2015,,,
GuangKa-14_root-1-1,GuangKa-14_root-1,ʐəh hɔːj,2-14,false,expert,Deepadung2015,,,
MangBang-14_root-1-1,MangBang-14_root-1,ɣəh,2-14,false,expert,Deepadung2015,,,
NanSang-14_root-1-1,NanSang-14_root-1,rəhhɔj,2-14,false,expert,Deepadung2015,,,
NamHsan-15_leaf-1-1,NamHsan-15_leaf-1,l̥a:,1-15,false,expert,Deepadung2015,,,
KhunHawt-15_leaf-1-1,KhunHawt-15_leaf-1,l̥aː heːj,1-15,false,expert,Deepadung2015,,,
HtanHsan-15_leaf-1-1,HtanHsan-15_leaf-1,l̥aː,1-15,false,expert,Deepadung2015,,,
PangKham-15_leaf-1-1,PangKham-15_leaf-1,l̥aː,1-15,false,expert,Deepadung2015,,,
ManLoi-15_leaf-1-1,ManLoi-15_leaf-1,l̥ɛː,1-15,false,expert,Deepadung2015,,,
MengDan-15_leaf-1-1,MengDan-15_leaf-1,l̥ɛː hi,1-15,false,expert,Deepadung2015,,,
ChuDongGua-15_leaf-1-1,ChuDongGua-15_leaf-1,l̥aː hiː,1-15,false,expert,Deepadung2015,,,
XiangZhaiTang-15_leaf-1-1,XiangZhaiTang-15_leaf-1,l̥aː,1-15,false,expert,Deepadung2015,,,
PongNuea-15_leaf-1-1,PongNuea-15_leaf-1,l̥ɛa,1-15,false,expert,Deepadung2015,,,
NyaungGone-15_leaf-1-1,NyaungGone-15_leaf-1,l̥a,1-15,false,expert,Deepadung2015,,,
NoeLae-15_leaf-1-1,NoeLae-15_leaf-1,l̥a,1-15,false,expert,Deepadung2015,,,
